"total_population","total_flights","delay_rate"
"12119334","105","0.36190476190476190476"
"13321097","39","0.25641025641025641026"
"13651030","50","0.26000000000000000000"
"13759501","51","0.21568627450980392157"
"14055137","121","0.29752066115702479339"
"16069056","148","0.37837837837837837838"
"17201724","124","0.31451612903225806452"
"17651103","159","0.30188679245283018868"
"17700982","162","0.39506172839506172840"
"17801897","226","0.32300884955752212389"
"17823897","287","0.32752613240418118467"
"17847877","245","0.31836734693877551020"
"18455316","222","0.36936936936936936937"
"19048502","185","0.31891891891891891892"
"19553036","582","0.29209621993127147766"
"20034609","284","0.33450704225352112676"
"20152938","222","0.40090090090090090090"
"20568728","122","0.31967213114754098361"
"22181000","361","0.36288088642659279778"
"22462173","85","0.37647058823529411765"
"22509038","274","0.31751824817518248175"
"23072640","132","0.33333333333333333333"
"25311973","60","0.31666666666666666667"
"26018721","6370","0.33626373626373626374"
"26328845","56","0.25000000000000000000"
"27632771","221","0.28506787330316742081"
"28213017","730","0.30273972602739726027"
"29715436","441","0.33786848072562358277"
"30395002","235","0.34893617021276595745"
"30437261","663","0.30467571644042232278"
"32175224","367","0.30517711171662125341"
"32656246","397","0.34005037783375314861"
"33149152","41","0.26829268292682926829"
"33475438","483","0.36645962732919254658"
"34695493","687","0.34206695778748180495"
"34938955","128","0.28125000000000000000"
"35635029","445","0.34606741573033707865"
"36821749","220","0.38181818181818181818"
"37329064","260","0.31153846153846153846"
"38222876","186","0.33870967741935483871"
"38935934","5413","0.33308701274709033808"
"40578842","372","0.32526881720430107527"
"41048766","407","0.32432432432432432432"
"44070551","123","0.39837398373983739837"
"45407904","1203","0.35494596841230257689"
"45477389","449","0.33630289532293986637"
"47312719","154","0.31818181818181818182"
"47786102","607","0.35749588138385502471"
"49383346","264","0.33712121212121212121"
"51672569","325","0.34769230769230769231"
"51737944","1619","0.31315626930203829524"
"53756787","462","0.32034632034632034632"
"54252461","425","0.33411764705882352941"
"59013667","669","0.37369207772795216741"
"62378410","945","0.33121693121693121693"
"64711821","345","0.35072463768115942029"
"67604000","1371","0.33552151714077315828"
"68184457","1382","0.35311143270622286541"
"71735329","500","0.34000000000000000000"
"83177813","1161","0.33161068044788975022"
"84979913","704","0.31392045454545454545"
"89524246","816","0.34313725490196078431"
"99680655","368","0.34782608695652173913"
"102396968","678","0.35103244837758112094"
"112618250","299","0.35785953177257525084"
"113964338","778","0.34961439588688946015"
"125124989","1004","0.31972111553784860558"
"125384287","544","0.31985294117647058824"
"128613117","1073","0.32898415657036346692"
"144236933","2247","0.32220738762794837561"
"169384897","180","0.30555555555555555556"
"210306415","3607","0.32242861103410036041"
"223150896","278","0.34172661870503597122"
"243700667","729","0.35528120713305898491"
"278830529","2362","0.31498729889923793395"
"334017321","22094","0.33366524848375124468"
"1412175000","2779","0.34077006117308384311"
"1425423212","1486","0.31830417227456258412"
NULL,"811","0.33538840937114673243"
